Name,Description,Values,Section
RESTTRL,Drżenie spoczynkowe - lewa ręka,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
RESTTRR,Drżenie spoczynkowe - prawa ręka,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
SLOWINGL,Spowolnienie precyzyjnych ruchów motorycznych - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
SLOWINGR,Spowolnienie precyzyjnych ruchów motorycznych - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
RIGIDL,Sztywność - lewa ręka,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
RIGIDR,Sztywność - prawa ręka,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
BRADY,Bradykinezja,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
PARKGAIT,Zaburzenie chodu związane z Parkinsonizmem,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
POSTINST,Niestabilność postawy,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CVDSIGNS,Objawy neurologiczne uznane przez egzaminującego za silnie powiązane z chorobą naczyniowo-mózgową,"{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
CORTDEF,"Deficyt poznawczy kory mózgowej (np. afazja, apraksja, zaniedbanie)","{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
SIVDFIND,Zanikowe lub inne neurologiczne wyniki zgodne z SIVD (podkorowym niedokrwiennym otępieniem naczyniowym),"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CVDMOTL,"Objawy ruchowe (mogą obejmować osłabienie dotyczące twarzy, kończyny górnej i dolnej; zmiany odruchów itp.) - lewa strona","{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CVDMOTR,"Objawy ruchowe (mogą obejmować osłabienie dotyczące twarzy, kończyny górnej i dolnej; zmiany odruchów itp.) - prawa strona","{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CORTVISL,Korowa utrata pola widzenia - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CORTVISR,Korowa utrata pola widzenia - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
SOMATL,Ubytek czucia somatosensorycznego - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
SOMATR,Ubytek czucia somatosensorycznego - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
POSTCORT,"Wyższe zaburzenia widzenia korowego sugerujące tylny zanik korowy (np. prozopagnozja, symultanagnozja, zespół Bálinta) lub apraksję spojrzenia","{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
PSPCBS,"Wyniki sugerujące postępujące porażenie nadjądrowe (PSP), zespół korowo-podstawny (CBS) lub inne pokrewne zaburzenia","{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
EYEPSP,Zmiany ruchów gałek ocznych występujące z PSP,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
DYSPSP,Dyzartria występująca z PSP,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
AXIALPSP,Sztywność osiowa występująca z PSP,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
GAITPSP,Zaburzenia chodu występujące z PSP,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
APRAXSP,Apraksja mowy,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
APRAXL,Apraksja występująca z CBS - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
APRAXR,Apraksja występująca z CBS - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CORTSENL,Deficyty sensoryczne kory mózgowej występujące z CBS - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
CORTSENR,Deficyty sensoryczne kory mózgowej występujące z CBS - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
ATAXL,Ataksja występująca z CBS - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
ATAXR,Ataksja występująca z CBS - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
ALIENLML,Zespół obcej ręki występujący z CBS - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
ALIENLMR,Zespół obcej ręki występujący z CBS - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
DYSTONL,"Dystonia występująca z CBS, PSP lub powiązana chorobą - lewa strona","{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
DYSTONR,"Dystonia występująca z CBS, PSP lub powiązana chorobą - prawa strona","{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
MYOCLLT,Mioklonie występujące z CBS - lewa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
MYOCLRT,Mioklonie występujące z CBS - prawa strona,"{'0': 'Nie', '1': 'Tak', '8': 'Nie zbadano'}",Wyniki Testów Fizycznych/Neurologicznych
ALSFIND,"Wyniki sugerujące stwardnienie zanikowe boczne ALS (np. zaniki mięśniowe, fascykulacje, spastyczny niedowład kończyn dolnych i/lub kończyn górnych)","{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
GAITNPH,Wodogłowie normotensyjne - apraksja chodu,"{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
OTHNEUR,"Inne wyniki (np. ataksja móżdżkowa, pląsawica, mioklonie)","{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
MMSECOMP,Czy jakaś część testu MMSE została wykonana?,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MMSELOC,MMSE zostało wykonane:,"{'1': 'W ośrodku/klinice', '2': 'W domu', '3': 'Osobiście - inaczej'}",Podsumowanie Wyników Testów Neuropsychologicznych
MMSELAN,"Język, w którym wykonano MMSE","{'1': 'Angielski', '2': 'Hiszpański', '3': 'Inny'}",Podsumowanie Wyników Testów Neuropsychologicznych
MMSEVIS,Pacjent nie był w stanie dokończyć jednej lub więcej części z powodu upośledzenia wzoku (MMSE),"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MMSEHEAR,Pacjent nie był w stanie dokończyć jednej lub więcej części z powodu upośledzenia słuchu (MMSE),"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MMSEORDA,MMSE wyniki - orientacja w czasie,{'zakres': '0 - 5'},Podsumowanie Wyników Testów Neuropsychologicznych
MMSEORLO,MMSE wyniki - orientacja w przestrzeni,{'zakres': '0 - 5'},Podsumowanie Wyników Testów Neuropsychologicznych
PENTAGON,MMSE wyniki - praksja konstrukcyjna (przerysowywanie pięciokątów),{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
NACCMMSE,Łączny wynik MMSE,{'zakres': '0 - 30'},Podsumowanie Wyników Testów Neuropsychologicznych
NPSYCLOC,Pozostała część pytań z puli została wykonana:,"{'1': 'W ośrodku/klinice', '2': 'W domu', '3': 'Osobiście - inaczej'}",Podsumowanie Wyników Testów Neuropsychologicznych
NPSYLAN,"Język, w którym wykonano test","{'1': 'Angielski', '2': 'Hiszpański', '3': 'Inny'}",Podsumowanie Wyników Testów Neuropsychologicznych
LOGIMO,"Jeżeli ten test został wykonany na pacjencie w ciągu ostatnich 3 miesięcy, sprecyzuj datę jego wykonania (miesiąc)",{'zakres': '1 - 12'},Podsumowanie Wyników Testów Neuropsychologicznych
LOGIDAY,"Jeżeli ten test został wykonany na pacjencie w ciągu ostatnich 3 miesięcy, sprecyzuj datę jego wykonania (dzień)",{'zakres': '1 - 31'},Podsumowanie Wyników Testów Neuropsychologicznych
LOGIYR,"Jeżeli ten test został wykonany na pacjencie w ciągu ostatnich 3 miesięcy, sprecyzuj datę jego wykonania (rok)",{'zakres': '>= 1875'},Podsumowanie Wyników Testów Neuropsychologicznych
LOGIPREV,Łączny wynik test podczas jego poprzedniego wykonania,{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
LOGIMEM,Łączna liczba fragmentów opowieści odtworzonych w bieżącym badaniu,{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
MEMUNITS,"Logical Memory IIA - Odroczony - Łączna liczba odtworzonych fragmentów opowieści",{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
MEMTIME,"Logical Memory IIA - Odroczony - Czas, jaki upłynął od części IA (bezpośredniej)",{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSBENTC,Łączny wynik dla kopiowania figury Benson'a,{'zakres': '0 - 17'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSBENTD,Łączny wynik w teście odroczonego (po 10–15 minutach) rysowania figury Bensona,{'zakres': '0 - 17'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSBENRS,Rozpoznanie oryginalnego bodźca spośród czterech opcji,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
DIGIF,Test powtarzania liczb w przód - liczba poprawnie wykonanych prób,{'zakres': '0 - 12'},Podsumowanie Wyników Testów Neuropsychologicznych
DIGIFLEN,Test powtarzania liczb w przód - długość,{'zakres': '0 - 8'},Podsumowanie Wyników Testów Neuropsychologicznych
DIGIB,Test powtarzania liczb w tył - liczba poprawnie wykonanych prób,{'zakres': '0 - 12'},Podsumowanie Wyników Testów Neuropsychologicznych
DIGIBLEN,Test powtarzania liczb w tył - długość,{'zakres': '0 - 8'},Podsumowanie Wyników Testów Neuropsychologicznych
ANIMALS,Zwierzęta - Łączna liczba zwierząt nazwanych/wymienionych w 60 sekund,{'zakres': '0 - 77'},Podsumowanie Wyników Testów Neuropsychologicznych
VEG,Warzywa - Łączna liczba warzyw nazwanych/wymienionych w 60 sekund,{'zakres': '0 - 77'},Podsumowanie Wyników Testów Neuropsychologicznych
TRAILA,Test łączenia kresek Część A - Łączna liczba sekund potrzebnych do zakończenia,{'zakres': '0 - 150'},Podsumowanie Wyników Testów Neuropsychologicznych
TRAILARR,Test łączenia kresek Część A - liczba popełnionych błędów,{'zakres': '0 - 40'},Podsumowanie Wyników Testów Neuropsychologicznych
TRAILALI,Test łączenia kresek Część A - liczba poprawnych lini,{'zakres': '0 - 24'},Podsumowanie Wyników Testów Neuropsychologicznych
TRAILB,Test łączenia kresek Część B - Łączna liczba sekund potrzebnych do zakończenia,{'zakres': '0 - 300'},Podsumowanie Wyników Testów Neuropsychologicznych
TRAILBRR,Test łączenia kresek Część B - liczba popełnionych błędów,{'zakres': '0 - 40'},Podsumowanie Wyników Testów Neuropsychologicznych
TRAILBLI,Test łączenia kresek Część B - liczba poprawnych lini,{'zakres': '0 - 24'},Podsumowanie Wyników Testów Neuropsychologicznych
WAIS,WAIS-R Digit Symbol,{'zakres': '0 - 93'},Podsumowanie Wyników Testów Neuropsychologicznych
BOSTON,Bostoński Test Nazywania (30) - Łączny wynik,{'zakres': '0 - 30'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERFC,Liczba poprawnych słów na literę F wygenerownych w 1 minutę,{'zakres': '0 - 40'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERFN,Liczba poprawnych słów na literę F powtórzonych w ciągu 1 minuty,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERNF,Liczba słów na literę inną niż F i naruszeń reguł w ciągu 1 minuty,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERLC,Liczba poprawnych słów na literę L wygenerownych w 1 minutę,{'zakres': '0 - 40'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERLR,Liczba poprawnych słów na literę L powtórzonych w ciągu 1 minuty,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERLN,Liczba słów na literę inną niż L i naruszeń reguł w ciągu 1 minuty,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERTN,Łączna liczba poprawnych słów na literę F i L,{'zakres': '0 - 80'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERTE,Łączna liczba powtórzonych słów na literę F i L,{'zakres': '0 - 30'},Podsumowanie Wyników Testów Neuropsychologicznych
UDSVERTI,Łączna liczba słów na inną literę niż F i L oraz naruszających reguły,{'zakres': '0 - 30'},Podsumowanie Wyników Testów Neuropsychologicznych
COGSTAT,"Zgodnie z oceną klinicysty i w oparciu na wyniki wywiadu neuropsychologicznego stan psychologiczny pacjenta został zaklasyfikaowany następująco:","{'0': 'Klinicysta niezdolny do wystawienia opinii', '1': 'Lepszy niż norma w grupie wiekowej', '2': 'Normalny dla grupy wiekowej', '3': 'Jeden lub dwa wyniki przekraczajace normę', '4': 'Trzy lub więcej wyniki przekraczajace normę lub niższe niż oczekiwano', '9': 'Brak opinii/brakujące dane'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCACOMP,Czy wykonano jakąkolwiek część testu MoCA?,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCAREAS,"Jeżeli nie wykonano żadnej części MoCA, podaj przyczynę","{'95': 'Problemy fizyczne/ruchowe', '96': 'Problemy kognitywne/behawioralne', '97': 'Inne problemy', '98': 'Odmowa ustna'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCALOC,Gdzie przeprowadzono test MoCa?,"{'1': 'W ośrodku/klinice', '2': 'W domu', '3': 'Osobiście - inaczej'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCALAN,"Język, w którym przeprowadzono test MoCA","{'1': 'Angielski', '2': 'Hiszpański', '3': 'Inny'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCAVIS,Pacjent nie był w stanie dokończyć jednej lub więcej części z powodu upośledzenia wzoku (MoCA),"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCAHEAR,Pacjent nie był w stanie dokończyć jednej lub więcej części z powodu upośledzenia słuchu (MoCA),"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCATOTS,MoCA Łączny wynik bez korekty,{'zakres': '0 - 30'},Podsumowanie Wyników Testów Neuropsychologicznych
NACCMOCA,MoCA Łączny wynik z korektą na edukację,{'zakres': '0 - 30'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCATRAI,MoCA: Wzrokowo-przestrzenne/wykonawcze - Łączenie punktów,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCACUBE,MoCA: Wzrokowo-przestrzenne/wykonawcze - Sześcian,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCACLOC,MoCA: Wzrokowo-przestrzenne/wykonawcze - Okrąg zegara,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCACLON,MoCA: Wzrokowo-przestrzenne/wykonawcze - Cyfry zegara,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCACLOH,MoCA: Wzrokowo-przestrzenne/wykonawcze - Wskazówki zegara,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCANAMI,MoCA: Język - Nazywanie,{'zakres': '0 - 3'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAREGI,MoCA: Pamięć - Powtarzanie (dwa podejścia),{'zakres': '0 - 10'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCADIGI,MoCA: Uwaga - Cyfry,{'zakres': '0 - 2'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCALETT,MoCA: Uwaga - Litera A,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCASER7,MoCA: Uwaga - Odejmowanie 7,{'zakres': '0 - 3'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAREPE,MoCA: Język - Powtarzanie,{'zakres': '0 - 2'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAFLUE,MoCA: Język - Fluencja,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAABST,MoCA: Abstrahowanie,{'zakres': '0 - 2'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCARECN,MoCA: Odroczone przypomnienie - Bez wskazówek,{'zakres': '0 - 5'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCARECC,MoCA: Odroczone przypomnienie - Podpowiedź kategorii,{'zakres': '0 - 5'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCARECR,MoCA: Odroczone przypomnienie - Rozpoznanie,{'zakres': '0 - 5'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAORDT,MoCA: Orientacja - Data,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAORMO,MoCA: Orientacja - Miesiąc,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAORYR,MoCA: Orientacja - Rok,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAORDY,MoCA: Orientacja - Dzień,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAORPL,MoCA: Orientacja - Miejsce,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
MOCAORCT,MoCA: Orientacja - Miasto,{'zakres': '0 - 1'},Podsumowanie Wyników Testów Neuropsychologicznych
CRAFTVRS,"Craft Story 21 Recall (Bezpośrednie/natychmiastowe) - Łączna liczba wymienionych/przypomnianych części historii, dokładne przytoczenie",{'zakres': '0 - 44'},Podsumowanie Wyników Testów Neuropsychologicznych
CRAFTURS,"Craft Story 21 Recall (Bezpośrednie/natychmiastowe) - Łączna liczba wymienionych/przypomnianych części historii, ocena parafrazowania",{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
DIGFORCT,Number Span Test: Wprzód - Liczba poprawnych podejeść,{'zakres': '0 - 14'},Podsumowanie Wyników Testów Neuropsychologicznych
DIGFORSL,Number Span Test: Wprzód - Najdłuższy ciąg cyfr wprzod,"{'0': nan, 'zakres': '3 - 9'}",Podsumowanie Wyników Testów Neuropsychologicznych
DIGBACCT,Number Span Test: Wspak - Liczba poprawnych podejeść,{'zakres': '0 - 14'},Podsumowanie Wyników Testów Neuropsychologicznych
DIGBACLS,Number Span Test: Wspak - Najdłuższy ciąg cyfr wspak,"{'0': nan, 'zakres': '2 - 8'}",Podsumowanie Wyników Testów Neuropsychologicznych
CRAFTDVR,"Craft Story 21 Recall (Odroczone) - Łączna liczba wymienionych/przypomnianych części historii, dokładne przytoczenie",{'zakres': '0 - 44'},Podsumowanie Wyników Testów Neuropsychologicznych
CRAFTDRE,"Craft Story 21 Recall (Odroczone) - Łączna liczba wymienionych/przypomnianych części historii, ocena parafrazowania",{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
CRAFTDTI,Craft Story 21 Recall (Odroczone) - Czas odroczenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
CRAFTCUE,Craft Story 21 Recall (Odroczone) - Czy potrzebne były wskaówki?,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
MINTTOTS,Multilingual Naming Test (MINT) - Łączny wynik,{'zakres': '0 - 32'},Podsumowanie Wyników Testów Neuropsychologicznych
MINTTOTW,Multilingual Naming Test (MINT) - Łączny wynik bez wskazówek semantycznych,{'zakres': '0 - 32'},Podsumowanie Wyników Testów Neuropsychologicznych
MINTSCNG,Multilingual Naming Test (MINT) - Liczba podanych wskazówek semantycznych,{'zakres': '0 - 32'},Podsumowanie Wyników Testów Neuropsychologicznych
MINTSCNC,Multilingual Naming Test (MINT) - Liczba poprawnie wykorzystanych wskazówek semantycznych,{'zakres': '0 - 32'},Podsumowanie Wyników Testów Neuropsychologicznych
MINTPCNG,Multilingual Naming Test (MINT) - Liczba podanych wskazówek fonetycznych,{'zakres': '0 - 32'},Podsumowanie Wyników Testów Neuropsychologicznych
MINTPCNC,Multilingual Naming Test (MINT) - Liczba poprawnie wykorzystanych wskazówek fonetycznych,{'zakres': '0 - 32'},Podsumowanie Wyników Testów Neuropsychologicznych
MODCOMM,Medium komunikacji wykorzystane do przeprowadzenia zestawu testów neuropsychologicznych,"{'1': 'Telefon', '2': 'Wideokonferencja', '3': 'Dowolna ich kombinacja'}",Podsumowanie Wyników Testów Neuropsychologicznych
MOCBTOTS,MoCA zaślepione - Łączny wynik bez korekty,{'zakres': '0 - 22'},Podsumowanie Wyników Testów Neuropsychologicznych
NACCMOCB,MoCA zaślepione - Łączny wynik z korektą na edukację,{'zakres': '0 - 22'},Podsumowanie Wyników Testów Neuropsychologicznych
REY1REC,Test Reya dotyczący uczenia się słuchowego: Podejście 1 łączna liczba zapamiętanych słów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REY1INT,Test Reya dotyczący uczenia się słuchowego: Podejście 1 przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
REY2REC,Test Reya dotyczący uczenia się słuchowego: Podejście 2 łączna liczba zapamiętanych słów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REY2INT,Test Reya dotyczący uczenia się słuchowego: Podejście 2 przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
REY3REC,Test Reya dotyczący uczenia się słuchowego: Podejście 3 łączna liczba zapamiętanych słów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REY3INT,Test Reya dotyczący uczenia się słuchowego: Podejście 3 przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
REY4REC,Test Reya dotyczący uczenia się słuchowego: Podejście 4 łączna liczba zapamiętanych słów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REY4INT,Test Reya dotyczący uczenia się słuchowego: Podejście 4 przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
REY5REC,Test Reya dotyczący uczenia się słuchowego: Podejście 5 łączna liczba zapamiętanych słów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REY5INT,Test Reya dotyczący uczenia się słuchowego: Podejście 5 przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
REY6REC,Test Reya dotyczący uczenia się słuchowego: Podejście 6 łączna liczba zapamiętanych słów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REY6INT,Test Reya dotyczący uczenia się słuchowego: Podejście 6 przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
OTRAILA,Ustny Test Łączenia Kresek - Część A: Łączna liczba sekund potrzebnych do jej wykonania,{'zakres': '0 - 100'},Podsumowanie Wyników Testów Neuropsychologicznych
OTRLARR,Ustny Test Łączenia Kresek - Część A: Liczba popełnionych błędów,{'zakres': '0 - 99'},Podsumowanie Wyników Testów Neuropsychologicznych
OTRLALI,Ustny Test Łączenia Kresek - Część A: Liczba poprawnych linii,{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
OTRAILB,Ustny Test Łączenia Kresek - Część B: Łączna liczba sekund potrzebnych do jej wykonania,{'zakres': '0 - 300'},Podsumowanie Wyników Testów Neuropsychologicznych
OTRLBRR,Ustny Test Łączenia Kresek - Część B: Liczba popełnionych błędów,{'zakres': '0 - 99'},Podsumowanie Wyników Testów Neuropsychologicznych
OTRLBLI,Ustny Test Łączenia Kresek - Część B: Liczba poprawnych linii,{'zakres': '0 - 25'},Podsumowanie Wyników Testów Neuropsychologicznych
REYDREC,Test Reya dotyczący uczenia się słuchowego: Łączne liczba poprawnie przypomnianych po odroczeniu,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REYDINT,Test Reya dotyczący uczenia się słuchowego: odroczone przerwy/wtrącenia,{'zakres': '0 - 85'},Podsumowanie Wyników Testów Neuropsychologicznych
REYTCOR,Test Reya dotyczący uczenia się słuchowego: Łączna liczba poprawnie rozpoznanych,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
REYFPOS,Test Reya dotyczący uczenia się słuchowego: Łączna liczba rozpoznanych fałszywych pozytywów,{'zakres': '0 - 15'},Podsumowanie Wyników Testów Neuropsychologicznych
VNTTOTW,Ustny test nazywania: Łączna liczba poprawnych odpowiedzi bez wskazówek,{'zakres': '0 - 50'},Podsumowanie Wyników Testów Neuropsychologicznych
VNTPCNC,Ustny test nazywania: Łączna liczba poprawnych odpowiedzi z wskazówkami werbalnymi,{'zakres': '0 - 50'},Podsumowanie Wyników Testów Neuropsychologicznych
RESPVAL,Za jak bardzo przekonujące/wiążące oceniasz odpowiedzi pacjenta?,"{'1': 'Bardzo przekonujące, prawdopodobnie dokładnie oddające stan psychologiczny pacjenta', '2': 'Budzące wątpliwości, możliwe, że nie oddają dokładnie stanu psychologicznego pacjenta', '3': 'Niewiarygodne, prawdopodobnie niedokładnie oddają stan psychiczny pacjenta'}",Podsumowanie Wyników Testów Neuropsychologicznych
RESPHEAR,Co umniejsza wiarygodność odpowiedzi pacjenta? Upośledzenie słuchu,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
RESPDIST,Co umniejsza wiarygodność odpowiedzi pacjenta? Rozproszenie,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
RESPINTR,Co umniejsza wiarygodność odpowiedzi pacjenta? Wtrącenia/Zakłócenia,"{'0': 'Nie', '1': 'Tak'}",Podsumowanie Wyników Testów Neuropsychologicznych
